Rank,Selection operator, Nindividual, Ngeneration,Nmg,Best_fitness
1,Roulette,50,50,10,0.0896
2,Roulette,50,80,30,0.0896
3,Rank,80,30,30,0.0897
4,Roulette,50,50,30,0.0898
5,Rank,80,50,30,0.0898
6,Tournament,80,80,30,0.0899
7,Rank,50,80,10,0.09
8,Rank,80,80,30,0.0901
9,Roulette,50,50,20,0.0902
10,Roulette,80,50,10,0.0902
11,Rank,30,50,20,0.0902
12,Rank,50,50,10,0.0902
13,Rank,50,80,30,0.0902
14,Rank,80,30,20,0.0902
15,Tournament,80,30,30,0.0902
16,Roulette,80,80,10,0.0903
17,Rank,30,50,30,0.0903
18,Rank,30,80,30,0.0903
19,Rank,80,80,10,0.0903
20,Tournament,80,50,20,0.0903
21,Rank,80,80,20,0.0904
22,Roulette,30,50,30,0.0905
23,Roulette,80,80,30,0.0905
24,Roulette,30,80,20,0.0908
25,Roulette,30,80,30,0.0908
26,Roulette,50,30,20,0.0908
27,Roulette,50,80,20,0.0908
28,Roulette,80,80,20,0.0909
29,Rank,30,50,10,0.0909
30,Roulette,30,50,10,0.091
31,Roulette,30,80,10,0.091
32,Rank,50,50,20,0.091
33,Roulette,80,50,30,0.0911
34,Tournament,80,30,20,0.0911
35,Rank,50,30,30,0.0912
36,Tournament,80,50,30,0.0912
37,Tournament,80,80,10,0.0912
38,Tournament,50,30,30,0.0913
39,Tournament,50,50,30,0.0913
40,Tournament,80,50,10,0.0913
41,Roulette,50,30,30,0.0914
42,Roulette,80,30,10,0.0914
43,Roulette,80,30,30,0.0914
44,Rank,50,50,30,0.0914
45,Rank,80,50,10,0.0914
46,Tournament,80,80,20,0.0914
47,Roulette,80,50,20,0.0915
48,Rank,30,30,20,0.0915
49,Roulette,30,30,20,0.0916
50,Roulette,80,30,20,0.0916
51,Rank,30,30,30,0.0916
52,Rank,30,80,10,0.0916
53,Tournament,30,80,10,0.0916
54,Tournament,50,80,10,0.0916
55,Tournament,50,80,20,0.0916
56,Rank,80,30,10,0.0917
57,Tournament,50,30,20,0.0917
58,Tournament,50,80,30,0.0917
59,Tournament,50,50,20,0.0918
60,Rank,30,30,10,0.0919
61,Rank,30,80,20,0.092
62,Tournament,30,80,30,0.092
63,Tournament,50,50,10,0.0921
64,Tournament,30,80,20,0.0922
65,Rank,50,30,20,0.0923
66,Rank,80,50,20,0.0923
67,Roulette,50,30,10,0.0924
68,Tournament,30,50,20,0.0924
69,Tournament,50,30,10,0.0924
70,Roulette,30,30,10,0.0925
71,Roulette,30,30,30,0.0925
72,Rank,50,30,10,0.0926
73,Rank,50,80,20,0.0926
74,Tournament,80,30,10,0.0926
75,Tournament,30,50,30,0.0928
76,Roulette,50,80,10,0.093
77,Tournament,30,30,30,0.0933
78,Roulette,30,50,20,0.0934
79,Tournament,30,30,20,0.0935
80,Tournament,30,50,10,0.0936
81,Tournament,30,30,10,0.0945
,,,,,
